loss_pct,latency_ms,kem,run,success,degraded,total_ms,rtt_ms,msg1_bytes,msg2_bytes,error
10,50,ML-KEM-768,5,True,False,340.17,247.23,1197,2301,
10,50,ML-KEM-1024,1,True,True,2970.1,2866.38,1581,3165,
10,50,ML-KEM-1024,2,True,False,402.8,307.48,1581,3165,
10,50,ML-KEM-1024,3,True,False,406.92,308.21,1581,3165,
10,50,ML-KEM-1024,4,True,False,394.17,305.0,1581,3165,
10,50,ML-KEM-1024,5,True,False,398.52,302.82,1581,3165,
20,50,ECDH-P256,1,True,False,123.0,62.78,75,156,
20,50,ECDH-P256,2,True,False,121.23,60.97,75,156,
20,50,ECDH-P256,3,True,False,115.86,57.81,75,156,
20,50,ECDH-P256,4,True,False,111.96,55.87,75,156,
20,50,ECDH-P256,5,True,False,119.06,58.93,75,156,
20,50,ML-KEM-512,1,True,False,208.6,126.22,813,1597,
20,50,ML-KEM-512,2,True,False,220.42,136.29,813,1597,
20,50,ML-KEM-512,3,True,False,195.19,121.32,813,1597,
20,50,ML-KEM-512,4,True,False,211.65,131.03,813,1597,
20,50,ML-KEM-512,5,True,False,199.32,125.06,813,1597,
20,50,ML-KEM-768,1,True,False,347.75,259.11,1197,2301,
20,50,ML-KEM-768,2,True,True,6482.38,6391.62,1197,2301,
20,50,ML-KEM-768,3,True,False,320.87,237.24,1197,2301,
20,50,ML-KEM-768,4,True,False,333.87,248.52,1197,2301,
20,50,ML-KEM-768,5,True,True,3197.4,252.79,1197,2301,
20,50,ML-KEM-1024,1,True,False,401.69,308.33,1581,3165,
20,50,ML-KEM-1024,2,True,False,402.2,306.17,1581,3165,
20,50,ML-KEM-1024,3,True,True,3250.63,3146.61,1581,3165,
20,50,ML-KEM-1024,4,True,False,414.24,314.99,1581,3165,
20,50,ML-KEM-1024,5,True,False,417.71,317.98,1581,3165,
30,50,ECDH-P256,1,True,True,31565.97,59.04,75,156,
30,50,ECDH-P256,2,True,False,119.93,65.38,75,156,
30,50,ECDH-P256,3,True,True,2515.32,57.45,75,156,
30,50,ECDH-P256,4,True,True,2746.47,56.94,75,156,
30,50,ECDH-P256,5,True,True,3057.07,56.98,75,156,
30,50,ML-KEM-512,1,True,True,2880.72,2798.85,813,1597,
30,50,ML-KEM-512,2,True,True,2649.73,2564.1,813,1597,
30,50,ML-KEM-512,3,True,True,6556.69,6481.97,813,1597,
30,50,ML-KEM-512,4,True,False,205.28,129.02,813,1597,
30,50,ML-KEM-512,5,True,True,2451.96,2370.22,813,1597,
30,50,ML-KEM-768,1,True,True,2357.91,248.84,1197,2301,
30,50,ML-KEM-768,2,True,True,10031.44,9940.72,1197,2301,
30,50,ML-KEM-768,3,True,True,2787.43,2680.05,1197,2301,
30,50,ML-KEM-768,4,True,False,334.1,243.8,1197,2301,
30,50,ML-KEM-768,5,True,True,7634.93,7553.5,1197,2301,
30,50,ML-KEM-1024,1,True,False,410.38,312.61,1581,3165,
30,50,ML-KEM-1024,2,True,False,398.41,307.1,1581,3165,
30,50,ML-KEM-1024,3,True,True,17941.67,17844.73,1581,3165,
30,50,ML-KEM-1024,4,True,True,3364.37,305.48,1581,3165,
